,ticker,start_date,end_date
28,ABILF,2014-02-05 00:00:00-05:00,2024-06-07 00:00:00-04:00
29,ABIO,1997-08-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
30,ABIT,2021-01-08 00:00:00-05:00,2024-06-07 00:00:00-04:00
31,ABLZF,2001-07-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
32,ABM,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
33,ABMC,1995-02-01 00:00:00-05:00,2024-06-07 00:00:00-04:00
34,ABMD,1987-07-29 00:00:00-04:00,2022-12-23 00:00:00-05:00
35,ABMT,2008-02-21 00:00:00-05:00,2024-06-07 00:00:00-04:00
36,ABNB,2020-12-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
37,ABOS,2021-07-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
38,ABQQ,2016-03-23 00:00:00-04:00,2024-06-07 00:00:00-04:00
39,ABR,2004-04-07 00:00:00-04:00,2024-06-07 00:00:00-04:00
40,ABR-PF,2021-10-05 00:00:00-04:00,2024-06-07 00:00:00-04:00
41,ABSI,2021-07-22 00:00:00-04:00,2024-06-07 00:00:00-04:00
42,ABT,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
43,ABTI,2010-05-05 00:00:00-04:00,2024-06-07 00:00:00-04:00
44,ABUS,2007-07-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
45,ABVC,2004-11-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
46,AC,2015-11-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
47,ACA,2018-11-05 00:00:00-05:00,2024-06-07 00:00:00-04:00
48,ACAD,2004-05-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
49,ACAN,2014-07-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
50,ACB,2014-07-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
51,ACBM,2021-01-08 00:00:00-05:00,2024-06-07 00:00:00-04:00
52,ACCA,2010-08-26 00:00:00-04:00,2024-05-13 00:00:00-04:00
53,ACCD,2020-07-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
54,ACCO,2005-08-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
55,ACEL,2017-08-24 00:00:00-04:00,2024-06-07 00:00:00-04:00
56,ACET,2018-01-26 00:00:00-05:00,2024-06-07 00:00:00-04:00
57,ACFN,1992-02-11 00:00:00-05:00,2024-06-07 00:00:00-04:00
58,ACGLN,2021-06-03 00:00:00-04:00,2024-06-07 00:00:00-04:00
59,ACHC,1994-03-04 00:00:00-05:00,2024-06-07 00:00:00-04:00
60,ACHL,2021-03-31 00:00:00-04:00,2024-06-07 00:00:00-04:00
61,ACHR,2020-12-18 00:00:00-05:00,2024-06-07 00:00:00-04:00
62,ACHV,1995-10-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
63,ACI,2020-06-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
64,ACIU,2016-09-23 00:00:00-04:00,2024-06-07 00:00:00-04:00
65,ACIW,1995-02-24 00:00:00-05:00,2024-06-07 00:00:00-04:00
66,ACLS,2000-07-11 00:00:00-04:00,2024-06-07 00:00:00-04:00
67,ACLX,2022-02-04 00:00:00-05:00,2024-06-07 00:00:00-04:00
68,ACM,2007-05-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
69,ACMB,2015-02-06 00:00:00-05:00,2024-06-07 00:00:00-04:00
70,ACMR,2017-11-02 00:00:00-04:00,2024-06-07 00:00:00-04:00
71,ACN,2001-07-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
72,ACNB,1994-04-04 00:00:00-04:00,2024-06-07 00:00:00-04:00
73,ACNT,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
74,ACOR,2006-02-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
75,ACP,2011-01-27 00:00:00-05:00,2024-06-07 00:00:00-04:00
76,ACP-PA,2021-05-04 00:00:00-04:00,2024-06-07 00:00:00-04:00
77,ACR,2006-02-07 00:00:00-05:00,2024-06-07 00:00:00-04:00
78,ACR-PD,2021-05-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
79,ACRDF,2020-09-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
